[tagged] (activity) "bollywood workout songs" → hindi | bollywood | e:high | v:positive | vocal | workout
[collected] (language) "hindi sad songs" → hindi | bollywood | e:low | v:negative | vocal | heartbreak
[tagged] (language) "indonesian party hits" → indonesian | pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "indonesian romantic songs" → indonesian | pop | e:medium | v:positive | vocal | romance
[tagged] (language) "indonesian sad songs" → indonesian | pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "italian party hits" → italian | pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "italian romantic songs" → italian | pop | e:- | v:positive | vocal | romance
[tagged] (language) "italian sad songs" → italian | pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "j-pop party hits" → japanese | j-pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "j-pop romantic songs" → japanese | j-pop | e:medium | v:positive | vocal | romance
[tagged] (language) "j-pop sad songs" → japanese | j-pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "k-pop party hits" → korean | k-pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "k-pop romantic songs" → korean | k-pop | e:- | v:positive | vocal | romance
[tagged] (language) "k-pop sad songs" → korean | k-pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "latin party hits" → spanish | latin | e:high | v:positive | vocal | party+dance
[tagged] (language) "latin romantic songs" → spanish | latin | e:- | v:positive | vocal | romance
[tagged] (language) "latin sad songs" → spanish | latin | e:low | v:negative | vocal | heartbreak
[tagged] (language) "opm party hits" → filipino | pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "opm romantic songs" → filipino | pop | e:medium | v:positive | vocal | romance
[tagged] (language) "opm sad songs" → filipino | pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "punjabi party hits" → punjabi | punjabi-pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "punjabi romantic songs" → punjabi | punjabi-pop | e:medium | v:positive | vocal | romance
[collected] (language) "punjabi sad songs" → punjabi | punjabi-pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "spanish party hits" → spanish | latin | e:high | v:positive | vocal | party+dance
[tagged] (language) "spanish romantic songs" → spanish | latin | e:- | v:positive | vocal | romance
[tagged] (language) "spanish sad songs" → spanish | latin | e:low | v:negative | vocal | heartbreak
[tagged] (language) "tamil party hits" → tamil | south-indian | e:high | v:positive | vocal | party+dance
[tagged] (language) "tamil romantic songs" → tamil | south-indian | e:medium | v:positive | vocal | romance
[tagged] (language) "tamil sad songs" → tamil | south-indian | e:low | v:negative | vocal | heartbreak
[tagged] (language) "telugu party hits" → telugu | south-indian | e:high | v:positive | vocal | party+dance
[tagged] (language) "telugu romantic songs" → telugu | south-indian | e:- | v:positive | vocal | romance
[tagged] (language) "telugu sad songs" → telugu | south-indian | e:low | v:negative | vocal | heartbreak
[tagged] (language) "thai party hits" → thai | pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "thai romantic songs" → thai | pop | e:- | v:positive | vocal | romance
[tagged] (language) "thai sad songs" → thai | pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "turkish party hits" → turkish | pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "turkish romantic songs" → turkish | pop | e:- | v:positive | vocal | romance
[tagged] (language) "turkish sad songs" → turkish | pop | e:low | v:negative | vocal | heartbreak
[tagged] (language) "vietnamese party hits" → vietnamese | pop | e:high | v:positive | vocal | party+dance
[tagged] (language) "vietnamese romantic songs" → vietnamese | pop | e:medium | v:positive | vocal | romance
[tagged] (language) "vietnamese sad songs" → vietnamese | pop | e:low | v:negative | vocal | heartbreak
[tagged] (mood) "angry songs" → english | rock | e:high | v:negative | vocal | motivation
[tagged] (mood) "chill vibes" → english | - | e:low | v:neutral | vocal | chill
[tagged] (mood) "christmas songs" → english | pop | e:medium | v:positive | vocal | winter+festival
[tagged] (mood) "feel good hits" → english | pop | e:high | v:positive | vocal | party+dance+festival
[tagged] (mood) "happy songs" → english | pop | e:high | v:positive | vocal | party+dance+romance
[tagged] (mood) "heartbreak songs" → english | pop | e:low | v:negative | vocal | breakup+heartbreak
[tagged] (mood) "hindi devotional songs" → hindi | bollywood | e:low | v:positive | vocal | devotional
[tagged] (mood) "hype songs" → english | hip-hop | e:high | v:positive | vocal | motivation+workout
[tagged] (mood) "love songs" → english | pop | e:medium | v:positive | vocal | romance
[tagged] (mood) "monsoon songs hindi" → hindi | bollywood | e:medium | v:positive | vocal | romance
[tagged] (mood) "motivational songs" → english | pop | e:high | v:positive | vocal | motivation
[tagged] (mood) "nostalgic hits" → english | pop | e:medium | v:positive | vocal | nostalgia+romance
[tagged] (mood) "party anthems" → english | pop | e:high | v:positive | vocal | party+dance
[tagged] (mood) "rainy day songs" → english | folk | e:low | v:neutral | vocal | rain+chill
[tagged] (mood) "sad songs" → english | blues | e:low | v:negative | vocal | heartbreak
[tagged] (mood) "songs for crying" → english | blues | e:low | v:negative | vocal | heartbreak
[tagged] (mood) "summer hits" → english | pop | e:high | v:positive | vocal | summer
